density,samp_size,seed,fscore,ari
0.2,10,0,1.0,0.0
0.2,100,0,0.5714285714285715,1.0
0.2,200,0,0.888888888888889,1.0
0.2,500,0,1.0,1.0
0.2,1000,0,1.0,1.0
0.2,2000,0,0.9090909090909092,1.0
0.2,5000,0,0.9090909090909092,1.0
0.2,10000,0,0.9090909090909092,1.0
0.2,20000,0,0.9090909090909092,1.0
0.2,50000,0,0.9090909090909092,1.0
0.2,100000,0,0.9090909090909092,1.0
0.5,10,0,1.0,0.0
0.5,100,0,0.75,0.5522388059701493
0.5,200,0,0.8333333333333334,0.3859649122807017
0.5,500,0,0.8421052631578948,0.7761194029850746
0.5,1000,0,0.9523809523809524,0.8767123287671232
0.5,2000,0,0.896551724137931,1.0
0.5,5000,0,0.896551724137931,1.0
0.5,10000,0,0.896551724137931,1.0
0.5,20000,0,0.896551724137931,1.0
0.5,50000,0,0.896551724137931,1.0
0.5,100000,0,0.896551724137931,1.0
0.8,10,0,1.0,0.0
0.8,100,0,1.0,0.0476190476190476
0.8,200,0,1.0,0.1021548284118116
0.8,500,0,0.888888888888889,0.0350877192982456
0.8,1000,0,1.0,0.1818181818181818
0.8,2000,0,0.9473684210526316,0.2436974789915966
0.8,5000,0,0.888888888888889,0.4633730834752981
0.8,10000,0,1.0,0.6924829157175398
0.8,20000,0,1.0,0.6924829157175398
0.8,50000,0,0.8947368421052632,1.0
0.8,100000,0,0.923076923076923,1.0
0.2,10,1,1.0,0.0
0.2,100,1,0.5714285714285715,1.0
0.2,200,1,0.75,1.0
0.2,500,1,0.888888888888889,1.0
0.2,1000,1,0.888888888888889,1.0
0.2,2000,1,0.888888888888889,1.0
0.2,5000,1,0.888888888888889,1.0
0.2,10000,1,0.888888888888889,1.0
0.2,20000,1,0.888888888888889,1.0
0.2,50000,1,0.888888888888889,1.0
0.2,100000,1,0.888888888888889,1.0
0.5,10,1,1.0,0.0
0.5,100,1,0.9333333333333332,0.3617021276595745
0.5,200,1,0.7407407407407406,0.845360824742268
0.5,500,1,0.8,0.845360824742268
0.5,1000,1,0.7027027027027025,1.0
0.5,2000,1,0.8,1.0
0.5,5000,1,0.7804878048780487,1.0
0.5,10000,1,0.761904761904762,1.0
0.5,20000,1,0.7441860465116279,1.0
0.5,50000,1,0.7441860465116279,1.0
0.5,100000,1,0.7441860465116279,1.0
0.8,10,1,1.0,0.0
0.8,100,1,1.0,0.0483383685800604
0.8,200,1,1.0,0.074074074074074
0.8,500,1,1.0,0.4
0.8,1000,1,0.888888888888889,0.1176470588235294
0.8,2000,1,0.8235294117647058,0.2268041237113402
0.8,5000,1,0.962962962962963,0.845360824742268
0.8,10000,1,0.962962962962963,0.845360824742268
0.8,20000,1,0.9142857142857144,1.0
