alpha,beta,ari,score,fit_time,num_parts,num_edges,precision,recall,f1
0.0001,0.0001,1.0,1182984.5241716998,0.022722624999005347,4,2,1.0,0.5,0.6666666666666666
0.0001,0.001,1.0,1182984.5241716998,0.02277095899989945,4,2,1.0,0.5,0.6666666666666666
0.0001,0.01,1.0,1182984.5241716998,0.023362457999610342,4,2,1.0,0.5,0.6666666666666666
0.0001,0.1,1.0,1182984.5241716998,0.023620583000592887,4,2,1.0,0.5,0.6666666666666666
0.001,0.0001,0.9317038102084831,1182930.6738037923,0.021767417001683498,4,2,1.0,0.5,0.6666666666666666
0.001,0.001,0.9317038102084831,1182930.6738037923,0.021285334001731826,4,2,1.0,0.5,0.6666666666666666
0.001,0.01,0.9317038102084831,1182930.6738037923,0.02862841699970886,4,2,1.0,0.5,0.6666666666666666
0.001,0.1,0.9317038102084831,1182930.6738037923,0.030934166999941226,4,2,1.0,0.5,0.6666666666666666
0.01,0.0001,0.9317038102084831,1182930.6738037923,0.0223241660023632,4,2,1.0,0.5,0.6666666666666666
0.01,0.001,0.9317038102084831,1182930.6738037923,0.019961500001954846,4,2,1.0,0.5,0.6666666666666666
0.01,0.01,0.9317038102084831,1182930.6738037923,0.02172249999784981,4,2,1.0,0.5,0.6666666666666666
0.01,0.1,0.9317038102084831,1182930.6738037923,0.02068229200085625,4,2,1.0,0.5,0.6666666666666666
0.1,0.0001,0.6263656227239621,1184649.6707603685,0.020440332998987287,4,2,1.0,0.5,0.6666666666666666
0.1,0.001,0.6263656227239621,1184649.6707603685,0.022438833002524916,4,2,1.0,0.5,0.6666666666666666
0.1,0.01,0.6263656227239621,1184649.6707603685,0.023820207999960985,4,2,1.0,0.5,0.6666666666666666
0.1,0.1,0.6263656227239621,1184649.6707603685,0.021752042001025984,4,2,1.0,0.5,0.6666666666666666
