alpha,beta,ari,score,fit_time,num_parts,num_edges,precision,recall,f1
0.0001,0.0001,1.0,1400296.804638136,0.021631457999319537,4,2,1.0,0.5,0.6666666666666666
0.0001,0.001,1.0,1400296.804638136,0.022196292000444373,4,2,1.0,0.5,0.6666666666666666
0.0001,0.01,1.0,1400296.804638136,0.023549917001219,4,2,1.0,0.5,0.6666666666666666
0.0001,0.1,1.0,1400296.804638136,0.021129291999386624,4,2,1.0,0.5,0.6666666666666666
0.001,0.0001,0.9317038102084831,1346360.1086072694,0.02097249999860651,4,2,1.0,0.5,0.6666666666666666
0.001,0.001,0.9317038102084831,1346360.1086072694,0.021864792000997113,4,2,1.0,0.5,0.6666666666666666
0.001,0.01,0.9317038102084831,1346360.1086072694,0.02481029200134799,4,2,1.0,0.5,0.6666666666666666
0.001,0.1,0.9317038102084831,1346360.1086072694,0.0403783330002625,4,2,1.0,0.5,0.6666666666666666
0.01,0.0001,0.9317038102084831,1346360.1086072694,0.020274834001611453,4,2,1.0,0.5,0.6666666666666666
0.01,0.001,0.9317038102084831,1346360.1086072694,0.021640082999510923,4,2,1.0,0.5,0.6666666666666666
0.01,0.01,0.9317038102084831,1346360.1086072694,0.021004832997277845,4,2,1.0,0.5,0.6666666666666666
0.01,0.1,0.9317038102084831,1346360.1086072694,0.020311459000367904,4,2,1.0,0.5,0.6666666666666666
0.1,0.0001,0.6263656227239621,1329123.1412246637,0.020748165999975754,4,2,1.0,0.5,0.6666666666666666
0.1,0.001,0.6263656227239621,1329123.1412246637,0.021327291997295106,4,2,1.0,0.5,0.6666666666666666
0.1,0.01,0.6263656227239621,1329123.1412246637,0.0233970830013277,4,2,1.0,0.5,0.6666666666666666
0.1,0.1,0.6263656227239621,1329123.1412246637,0.030452250000962522,4,2,1.0,0.5,0.6666666666666666
