alpha_ci,alpha_inv,bic,runtime_sec,precision,recall,f1
0.0001,0.0001,1908902.750254357,0.44239058399762143,0.5116279069767442,0.5641025641025641,0.5365853658536586
0.0001,0.001,1908988.0246554734,0.4281306249977206,0.4878048780487805,0.5128205128205128,0.5
0.0001,0.01,1908919.0289620964,0.406767291999131,0.5,0.5641025641025641,0.5301204819277109
0.0001,0.1,1908914.838178343,0.3755728750002163,0.5116279069767442,0.5641025641025641,0.5365853658536586
0.001,0.0001,1908917.4218150561,0.4389712500014866,0.3333333333333333,0.41025641025641024,0.36781609195402293
0.001,0.001,1908882.7088285126,0.4666283749975264,0.5111111111111111,0.5897435897435898,0.5476190476190476
0.001,0.01,1908893.3760250858,0.4331158749992028,0.3617021276595745,0.4358974358974359,0.39534883720930236
0.001,0.1,1908875.9252969197,0.25137816699862015,0.4888888888888889,0.5641025641025641,0.5238095238095238
0.01,0.0001,1908902.7047575875,0.25142112499815994,0.32142857142857145,0.46153846153846156,0.37894736842105264
0.01,0.001,1908876.1917132454,0.27720837499873596,0.4074074074074074,0.5641025641025641,0.47311827956989244
0.01,0.01,1908882.3126680313,0.2635664160006854,0.4074074074074074,0.5641025641025641,0.47311827956989244
0.01,0.1,1908883.5396605902,0.3487516669993056,0.41818181818181815,0.5897435897435898,0.48936170212765956
0.1,0.0001,1909038.3815561703,0.20376004200079478,0.2236842105263158,0.4358974358974359,0.2956521739130435
0.1,0.001,1909042.9940753065,0.21443558299870347,0.1038961038961039,0.20512820512820512,0.13793103448275865
0.1,0.01,1909044.632790398,0.2594322499971895,0.11688311688311688,0.23076923076923078,0.15517241379310345
0.1,0.1,1909023.824734774,0.2812776249993476,0.2972972972972973,0.5641025641025641,0.3893805309734513
