alpha_ci,alpha_inv,bic,runtime_sec,precision,recall,f1
0.0001,0.0001,1908914.5260442474,0.17797988600068493,0.5116279069767442,0.5641025641025641,0.5365853658536586
0.0001,0.001,1908976.0960555614,0.19935296599942376,0.47619047619047616,0.5128205128205128,0.49382716049382713
0.0001,0.01,1908907.6297499212,0.21724355600053968,0.40476190476190477,0.4358974358974359,0.4197530864197531
0.0001,0.1,1908932.681170467,0.1285772299997916,0.24444444444444444,0.28205128205128205,0.2619047619047619
0.001,0.0001,1908887.3012318776,0.17535590500119724,0.4782608695652174,0.5641025641025641,0.5176470588235293
0.001,0.001,1908876.484527513,0.15214880200073821,0.4888888888888889,0.5641025641025641,0.5238095238095238
0.001,0.01,1908879.0655431682,0.2263969449995784,0.5111111111111111,0.5897435897435898,0.5476190476190476
0.001,0.1,1908926.4266615808,0.2112558770004398,0.2765957446808511,0.3333333333333333,0.3023255813953488
0.01,0.0001,1908894.6675266016,0.18162373099949036,0.4,0.5641025641025641,0.46808510638297873
0.01,0.001,1908892.2208434662,0.2522415240000555,0.4,0.5641025641025641,0.46808510638297873
0.01,0.01,1908886.504937194,0.31464880099883885,0.4074074074074074,0.5641025641025641,0.47311827956989244
0.01,0.1,1908892.822136711,0.21695496600113984,0.41818181818181815,0.5897435897435898,0.48936170212765956
0.1,0.0001,1909042.0071416174,0.24247546199876524,0.23376623376623376,0.46153846153846156,0.3103448275862069
0.1,0.001,1909008.4678843054,0.27097668900023564,0.3150684931506849,0.5897435897435898,0.4107142857142857
0.1,0.01,1909031.1948668761,0.19103622900001938,0.3026315789473684,0.5897435897435898,0.39999999999999997
0.1,0.1,1909039.4441003613,0.20711010600098234,0.2597402597402597,0.5128205128205128,0.3448275862068965
