alpha,beta,ari,score,fit_time,num_parts,num_edges,precision,recall,f1
0.0001,0.0001,1.0,1167291.7978783706,0.02352391699969303,4,2,1.0,0.5,0.6666666666666666
0.0001,0.001,1.0,1167291.7978783706,0.019793874998867977,4,2,1.0,0.5,0.6666666666666666
0.0001,0.01,1.0,1167291.7978783706,0.02188808299979428,4,2,1.0,0.5,0.6666666666666666
0.0001,0.1,1.0,1167291.7978783706,0.0214954580005724,4,2,1.0,0.5,0.6666666666666666
0.001,0.0001,0.9317038102084831,1167226.7764444016,0.020890249998046784,4,2,1.0,0.5,0.6666666666666666
0.001,0.001,0.9317038102084831,1167226.7764444016,0.022429084001487354,4,2,1.0,0.5,0.6666666666666666
0.001,0.01,0.9317038102084831,1167226.7764444016,0.024546042001020396,4,2,1.0,0.5,0.6666666666666666
0.001,0.1,0.9317038102084831,1167226.7764444016,0.03168412500235718,4,2,1.0,0.5,0.6666666666666666
0.01,0.0001,0.9317038102084831,1167226.7764444016,0.022023207999154693,4,2,1.0,0.5,0.6666666666666666
0.01,0.001,0.9317038102084831,1167226.7764444016,0.02171545899909688,4,2,1.0,0.5,0.6666666666666666
0.01,0.01,0.9317038102084831,1167226.7764444016,0.023884291000285884,4,2,1.0,0.5,0.6666666666666666
0.01,0.1,0.9317038102084831,1167226.7764444016,0.021619582999846898,4,2,1.0,0.5,0.6666666666666666
0.1,0.0001,0.6263656227239621,1167204.7052850444,0.021038500002759974,4,2,1.0,0.5,0.6666666666666666
0.1,0.001,0.6263656227239621,1167204.7052850444,0.020737040998938028,4,2,1.0,0.5,0.6666666666666666
0.1,0.01,0.6263656227239621,1167204.7052850444,0.020659959001932293,4,2,1.0,0.5,0.6666666666666666
0.1,0.1,0.6263656227239621,1167204.7052850444,0.023660540999117075,4,2,1.0,0.5,0.6666666666666666
