alpha_ci,alpha_inv,bic,runtime_sec,precision,recall,f1
0.0001,0.0001,1908935.1258312992,0.17532937499709078,0.26666666666666666,0.3076923076923077,0.28571428571428575
0.0001,0.001,1908912.4114964027,0.17745866599943838,0.5,0.5641025641025641,0.5301204819277109
0.0001,0.01,1908911.5803944548,0.13857770899994648,0.4772727272727273,0.5384615384615384,0.5060240963855421
0.0001,0.1,1908920.5250401057,0.1677326669996546,0.16279069767441862,0.1794871794871795,0.17073170731707318
0.001,0.0001,1908879.3730926777,0.16136516699771164,0.37777777777777777,0.4358974358974359,0.40476190476190477
0.001,0.001,1908886.1722630789,0.20872645900089992,0.4782608695652174,0.5641025641025641,0.5176470588235293
0.001,0.01,1908898.2171611288,0.17776933400091366,0.2127659574468085,0.2564102564102564,0.23255813953488375
0.001,0.1,1908894.0817638752,0.1721705829986604,0.391304347826087,0.46153846153846156,0.4235294117647059
0.01,0.0001,1908889.8257508164,0.22276454199891305,0.39285714285714285,0.5641025641025641,0.4631578947368421
0.01,0.001,1908889.3192473769,0.20925162499770522,0.375,0.5384615384615384,0.4421052631578948
0.01,0.01,1908891.7406427148,0.2578810419981892,0.38181818181818183,0.5384615384615384,0.44680851063829785
0.01,0.1,1908880.3088193904,0.19981016699966858,0.4,0.5641025641025641,0.46808510638297873
0.1,0.0001,1909015.2487063538,0.14352283300104318,0.3108108108108108,0.5897435897435898,0.4070796460176991
0.1,0.001,1909033.6966760422,0.2054881670010218,0.11842105263157894,0.23076923076923078,0.1565217391304348
0.1,0.01,1909044.6229890753,0.23013033300230745,0.21794871794871795,0.4358974358974359,0.2905982905982906
0.1,0.1,1909055.4573199796,0.21224395799799822,0.22784810126582278,0.46153846153846156,0.3050847457627119
