alpha_ci,alpha_inv,bic,runtime_sec,precision,recall,f1
0.0001,0.0001,1908903.7161092022,0.23329295800067484,0.5116279069767442,0.5641025641025641,0.5365853658536586
0.0001,0.001,1908906.0649219889,0.13152291699952912,0.38095238095238093,0.41025641025641024,0.39506172839506165
0.0001,0.01,1908913.330229943,0.15409283299959498,0.36363636363636365,0.41025641025641024,0.3855421686746988
0.0001,0.1,1908903.7161092022,0.13638783400165266,0.5116279069767442,0.5641025641025641,0.5365853658536586
0.001,0.0001,1908894.7505238529,0.14777833400148666,0.40425531914893614,0.48717948717948717,0.4418604651162791
0.001,0.001,1908885.3682229738,0.23296683299849974,0.4782608695652174,0.5641025641025641,0.5176470588235293
0.001,0.01,1908888.06470833,0.16458387499733362,0.14893617021276595,0.1794871794871795,0.1627906976744186
0.001,0.1,1908904.1388615272,0.17086820799886482,0.17391304347826086,0.20512820512820512,0.18823529411764706
0.01,0.0001,1908892.5100026156,0.23206337499868823,0.41818181818181815,0.5897435897435898,0.48936170212765956
0.01,0.001,1908881.810610092,0.19541945899982238,0.2909090909090909,0.41025641025641024,0.3404255319148936
0.01,0.01,1908868.98913255,0.2625827499978186,0.4807692307692308,0.6410256410256411,0.5494505494505495
0.01,0.1,1908893.2976098682,0.45532908300083363,0.41818181818181815,0.5897435897435898,0.48936170212765956
0.1,0.0001,1909020.7438565057,0.346924500001478,0.30666666666666664,0.5897435897435898,0.40350877192982454
0.1,0.001,1909014.644869238,0.5432933749980293,0.2972972972972973,0.5641025641025641,0.3893805309734513
0.1,0.01,1909041.9463924402,0.35099887500109617,0.2987012987012987,0.5897435897435898,0.39655172413793105
0.1,0.1,1909040.4445640864,0.273785041001247,0.2597402597402597,0.5128205128205128,0.3448275862068965
