density,samp_size,seed,num_nodes,num_intervs,graph_family,method,metric_type,precision,recall,fscore,ari,runtime_sec,score
0.2,10,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0041019089985638,
0.2,100,0,10,5,er,RePaRe,partition,1.0,0.8,0.888888888888889,1.0,0.0932348959904629,
0.2,200,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1115468039934057,
0.2,500,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1444415230071172,
0.2,1000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.095391342008952,
0.2,2000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1614449149928987,
0.2,5000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2125537860265467,
0.2,10000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3198561610188335,
0.2,20000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5750806750147603,
0.2,50000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.105920172005426,
0.2,100000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.3736051750020124,
0.5,10,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0192799310025293,
0.5,100,0,10,5,er,RePaRe,partition,0.625,0.8333333333333334,0.7142857142857143,0.3859649122807017,0.0460000759921968,
0.5,200,0,10,5,er,RePaRe,partition,1.0,0.8571428571428571,0.923076923076923,0.4874715261958998,0.1969077739922795,
0.5,500,0,10,5,er,RePaRe,partition,0.9230769230769232,0.8571428571428571,0.888888888888889,0.725609756097561,0.2390115800080821,
0.5,1000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2622276519832667,
0.5,2000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3612211709842086,
0.5,5000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.4302685169968754,
0.5,10000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.8445859380008187,
0.5,20000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.7642760979942975,
0.5,50000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,5.507544588006567,
0.5,100000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,8.456367054983275,
0.8,10,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0091205629869364,
0.8,100,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0476190476190476,0.019626661989605,
0.8,200,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.1021548284118116,0.0185934000182896,
0.8,500,0,10,5,er,RePaRe,partition,0.7777777777777778,0.875,0.823529411764706,0.1567291311754685,0.1634503609966486,
0.8,1000,0,10,5,er,RePaRe,partition,0.9,1.0,0.9473684210526316,0.2436974789915966,0.145670911995694,
0.8,2000,0,10,5,er,RePaRe,partition,0.8,1.0,0.888888888888889,0.6924829157175398,0.1016502899874467,
0.8,5000,0,10,5,er,RePaRe,partition,0.8,1.0,0.888888888888889,0.6924829157175398,0.2812714029860217,
0.8,10000,0,10,5,er,RePaRe,partition,0.8,1.0,0.888888888888889,0.6924829157175398,0.547901854995871,
0.8,20000,0,10,5,er,RePaRe,partition,0.8,1.0,0.888888888888889,0.6924829157175398,1.19606338700396,
0.8,50000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.6924829157175398,2.373073246999411,
0.8,100000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,7.158694341982482,
0.2,10,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0178265539871063,
0.2,100,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.5522388059701493,0.1618890399986412,
0.2,200,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1280498520063702,
0.2,500,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1014118030143436,
0.2,1000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0562160859990399,
0.2,2000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1050004709977656,
0.2,5000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2605512200098019,
0.2,10000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3010611070203595,
0.2,20000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5129818080167752,
0.2,50000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.9082444439991376,
0.2,100000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.898177505005151,
0.5,10,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0100272030103951,
0.5,100,1,10,5,er,RePaRe,partition,1.0,0.7142857142857143,0.8333333333333333,0.3617021276595745,0.0842981380119454,
0.5,200,1,10,5,er,RePaRe,partition,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.845360824742268,0.1757853879826143,
0.5,500,1,10,5,er,RePaRe,partition,0.7058823529411765,1.0,0.8275862068965517,0.6341463414634146,0.4556614570028614,
0.5,1000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3631139780045487,
0.5,2000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5742460929905064,
0.5,5000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.562278064986458,
0.5,10000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.8222662350162864,
0.5,20000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.4963892980013045,
0.5,50000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.3084907619922888,
0.5,100000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,7.685697234002873,
0.8,10,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0055643590167164,
0.8,100,1,10,5,er,RePaRe,partition,1.0,0.8,0.888888888888889,0.1791044776119403,0.0844702949980273,
