density,samp_size,seed,num_nodes,num_intervs,graph_family,method,metric_type,precision,recall,fscore,ari,runtime_sec,score
0.2,10,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0117941019998397,
0.2,100,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1220376700002816,
0.2,1000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1198651359954965,
0.2,10000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3197041460007312,
0.2,100000,0,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.054794991003291,
0.2,10,1,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.0476190476190476,0.0126340740025625,
0.2,100,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1635511229978874,
0.2,1000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1163621340019744,
0.2,10000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2421794969995971,
0.2,100000,1,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,2.1586971880024066,
0.2,10,2,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.1333333333333333,0.0235710630004177,
0.2,100,2,10,5,er,RePaRe,partition,0.5,0.6666666666666666,0.5714285714285715,0.9379310344827586,0.1001242920028744,
0.2,1000,2,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.154630011995323,
0.2,10000,2,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.4659907070017652,
0.2,100000,2,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,4.450251121998008,
0.2,10,3,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.0229885057471264,0.0123040639955434,
0.2,100,3,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.6456692913385826,0.1020845780003583,
0.2,1000,3,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2250781330003519,
0.2,10000,3,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.0508116229975712,
0.2,100000,3,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,5.59288876500068,
0.2,10,4,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.0880503144654088,0.0337610609931289,
0.2,100,4,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.0465774960030103,
0.2,1000,4,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1838253710011486,
0.2,10000,4,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.3381572759972187,
0.2,100000,4,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.5215715110025485,
0.2,10,5,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.0350877192982456,0.0171767840001848,
0.2,100,5,10,5,er,RePaRe,partition,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.845360824742268,0.1704954790038755,
0.2,1000,5,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.317077233994496,
0.2,10000,5,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.7129714459952083,
0.2,100000,5,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,8.32963347099576,
0.2,10,6,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.01131225899735,
0.2,100,6,10,5,er,RePaRe,partition,0.5,0.5,0.5,0.64,0.0633371009971597,
0.2,1000,6,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1185414630017476,
0.2,10000,6,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1827309460059041,
0.2,100000,6,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,2.8188238350048778,
0.2,10,7,10,5,er,RePaRe,partition,0.0,1.0,0.0,0.0606060606060606,0.0125772660030634,
0.2,100,7,10,5,er,RePaRe,partition,0.4285714285714285,0.75,0.5454545454545454,0.3835616438356164,0.1425247320003109,
0.2,1000,7,10,5,er,RePaRe,partition,0.75,1.0,0.8571428571428571,0.7272727272727273,0.1398506009936682,
0.2,10000,7,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1767156999994767,
0.2,100000,7,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.78217148299882,
0.2,10,8,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0108276329992804,
0.2,100,8,10,5,er,RePaRe,partition,0.75,1.0,0.8571428571428571,0.7761194029850746,0.0912256279989378,
0.2,1000,8,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1193572500051232,
0.2,10000,8,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.6126976550003747,
0.2,100000,8,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,2.8982457519960008,
0.2,10,9,10,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0091081599966855,
0.2,100,9,10,5,er,RePaRe,partition,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.6170212765957447,0.0780643469988717,
0.2,1000,9,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.1650507900048978,
0.2,10000,9,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2014839120020042,
0.2,100000,9,10,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,3.681056574001559,
0.2,10,0,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0201217670037294,
0.2,100,0,20,5,er,RePaRe,partition,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3819574960242879,0.2540414399991277,
0.2,1000,0,20,5,er,RePaRe,partition,0.85,0.9444444444444444,0.8947368421052632,0.8419629860677895,1.3774944160031737,
0.2,10000,0,20,5,er,RePaRe,partition,0.95,1.0,0.9743589743589745,0.9362273439248154,3.17197410499648,
0.2,100000,0,20,5,er,RePaRe,partition,0.95,1.0,0.9743589743589745,0.9362273439248154,43.26841152899578,
0.2,10,1,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0310550319991307,
0.2,100,1,20,5,er,RePaRe,partition,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.3458587448357269,0.180461160998675,
0.2,1000,1,20,5,er,RePaRe,partition,0.9230769230769232,1.0,0.96,0.7115650013800717,0.3568886339999153,
0.2,10000,1,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.35788230199978,
0.2,100000,1,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,49.94799673899979,
0.2,10,2,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0136054421768707,0.0512191890011308,
0.2,100,2,20,5,er,RePaRe,partition,0.8888888888888888,1.0,0.9411764705882352,0.4833836858006042,0.1503916759975254,
0.2,1000,2,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.9614604462474644,0.3628463519999059,
0.2,10000,2,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.1335090130014578,
0.2,100000,2,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,39.23646054200072,
0.2,10,3,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0994854202401372,0.0441598620018339,
0.2,100,3,20,5,er,RePaRe,partition,1.0,0.6666666666666666,0.8,0.4463756262140885,0.0837910249974811,
0.2,1000,3,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2493741139987833,
0.2,10000,3,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.148383361003653,
0.2,100000,3,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,26.914509214002464,
0.2,10,4,20,5,er,RePaRe,partition,1.0,1.0,1.0,-0.0431654676258992,0.0886591500020586,
0.2,100,4,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.8549618320610687,0.077428641001461,
0.2,1000,4,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.5473901180012035,
0.2,10000,4,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.920124273005058,
0.2,100000,4,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,41.48057792100008,
0.2,10,5,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0199852400037343,
0.2,100,5,20,5,er,RePaRe,partition,0.7,0.7777777777777778,0.7368421052631577,0.2752043596730245,0.3354861100015114,
0.2,1000,5,20,5,er,RePaRe,partition,0.5,0.9375,0.6521739130434783,0.6352530541012217,0.7209544159995858,
0.2,10000,5,20,5,er,RePaRe,partition,0.8333333333333334,1.0,0.9090909090909092,0.962671905697446,4.034211022000818,
0.2,100000,5,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,48.80081591300405,
0.2,10,6,20,5,er,RePaRe,partition,1.0,0.0,0.0,0.0093926609886173,0.0715776349970838,
0.2,100,6,20,5,er,RePaRe,partition,0.9,0.8181818181818182,0.8571428571428572,0.8076144187930336,0.4147099960027844,
0.2,1000,6,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.2964080490055494,
0.2,10000,6,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,0.8616880000045057,
0.2,100000,6,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,20.755086738994574,
0.2,10,7,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0197188659949461,
0.2,100,7,20,5,er,RePaRe,partition,0.5,0.6666666666666666,0.5714285714285715,0.3738140417457306,0.0685175709950272,
0.2,1000,7,20,5,er,RePaRe,partition,0.8461538461538461,1.0,0.9166666666666666,0.8568019093078759,0.372398402003455,
0.2,10000,7,20,5,er,RePaRe,partition,0.875,1.0,0.9333333333333332,0.9874055415617128,2.487663314997917,
0.2,100000,7,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,46.0586236809977,
0.2,10,8,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0301441677588466,0.0130318640003679,
0.2,100,8,20,5,er,RePaRe,partition,0.7142857142857143,0.625,0.6666666666666666,0.2347525891829689,0.3870764449966373,
0.2,1000,8,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.2509852100047285,
0.2,10000,8,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,1.984175926001626,
0.2,100000,8,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,78.6703044599999,
0.2,10,9,20,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0433094000036362,
0.2,100,9,20,5,er,RePaRe,partition,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2804393107366029,0.4301219839981058,
0.2,1000,9,20,5,er,RePaRe,partition,0.7727272727272727,1.0,0.8717948717948718,0.7905511811023622,0.5340345869990415,
0.2,10000,9,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,2.0048600399968564,
0.2,100000,9,20,5,er,RePaRe,partition,1.0,1.0,1.0,1.0,78.36512407099508,
0.2,10,0,50,5,er,RePaRe,partition,1.0,1.0,1.0,0.0,0.0423983989967382,
0.2,100,0,50,5,er,RePaRe,partition,1.0,0.6666666666666666,0.8,0.142738128297695,0.0736288100015372,
